Age,Cabin,Embarked,FamilySize,Fare,Pclass,Sex,Survived,Title
4.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,1,0.8,0.0,3,1,0,1
0.0,1.2,0,0.4,2.0,1,1,1,1
3.0,1.8,0,0.4,1.0,2,1,0,2
1.0,2.0,0,0.4,0.0,3,1,1,2
3.0,0.8,0,0.8,3.0,1,1,1,2
3.0,1.6,0,0.0,1.0,1,0,1,0
1.0,2.0,1,1.2,1.0,3,1,1,2
2.0,2.0,1,0.0,0.0,3,0,0,0
3.0,2.0,0,0.8,0.0,3,0,0,0
1.0,1.8,0,0.4,0.0,2,0,0,0
3.0,1.2,0,0.0,1.0,1,1,1,2
1.0,2.0,0,4.0,2.0,3,1,0,1
1.0,1.8,0,0.0,0.0,2,0,0,0
3.0,1.8,0,0.0,0.0,2,1,1,2
2.0,1.8,1,0.4,0.0,2,1,1,1
2.0,0.0,0,0.0,2.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,0,0.8,0.0,3,0,1,3
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,1.2,0,0.8,2.0,1,1,1,2
2.0,0.4,0,0.0,0.0,1,0,0,0
3.0,2.0,0,0.0,0.0,3,0,0,0
2.0,1.8,1,0.4,1.0,2,1,1,2
0.0,2.0,1,0.0,0.0,3,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.4,2.0,1,1,1,2
1.0,1.8,0,0.4,1.0,2,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,1,0,1
2.0,1.8,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,2,2.0,1.0,3,1,0,2
2.0,1.8,0,0.0,0.0,2,0,0,3
1.0,0.4,0,0.0,1.0,1,1,1,1
1.0,2.0,0,1.2,1.0,3,1,0,1
1.0,0.8,1,0.0,1.0,1,0,1,0
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
3.0,2.0,2,0.0,0.0,2,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.8,0.0,3,1,1,2
0.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.8,1.0,2,0,0,0
1.0,2.0,1,0.0,0.0,3,1,1,2
1.0,2.0,0,0.8,1.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,0,0.0,1.0,1,0,0,0
1.0,0.4,0,0.4,2.0,1,1,1,2
4.0,2.0,0,0.4,1.0,2,0,0,0
3.0,1.6,0,0.4,2.0,1,1,1,2
1.0,2.0,1,0.4,1.0,2,1,1,2
2.0,2.0,2,0.0,0.0,2,0,0,0
1.0,2.0,1,0.0,0.0,3,0,0,0
0.0,2.0,0,0.4,0.0,3,0,1,3
3.0,0.8,0,0.0,2.0,1,1,1,2
3.0,0.4,1,1.6,3.0,1,1,1,2
3.0,2.0,0,0.4,0.0,3,0,0,0
1.0,0.4,1,0.4,2.0,1,1,1,1
1.0,2.0,1,0.0,0.0,3,0,0,0
2.0,2.0,1,0.8,1.0,3,0,0,0
3.0,2.0,0,0.4,1.0,2,0,0,0
1.0,2.0,0,0.8,2.0,2,0,0,0
3.0,2.0,0,1.2,1.0,3,1,0,2
2.0,0.8,1,0.4,2.0,1,0,0,0
1.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,1,0.4,0.0,3,0,0,0
3.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,2,1,1,2
3.0,1.2,0,0.4,2.0,1,1,1,2
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.0,1,0.0,1.0,1,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
3.0,1.2,1,0.0,2.0,1,1,1,2
1.0,0.8,0,0.4,2.0,1,0,0,0
2.0,2.0,1,0.0,0.0,2,0,0,0
1.0,2.0,0,1.2,1.0,2,1,1,1
2.0,0.8,0,2.0,3.0,1,1,1,1
2.0,2.0,1,0.0,0.0,2,0,0,0
0.0,2.0,2,2.0,1.0,3,0,0,3
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.4,0.0,3,0,0,0
2.0,0.4,1,0.0,3.0,1,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
0.0,0.4,1,1.6,3.0,1,0,1,3
3.0,2.0,0,0.0,1.0,2,1,1,2
1.0,2.0,2,0.0,0.0,3,1,1,1
3.0,0.8,0,0.0,2.0,1,0,0,0
2.0,0.8,1,0.0,1.0,1,0,0,0
3.0,0.8,0,2.0,3.0,1,1,1,2
1.0,2.0,2,0.0,0.0,3,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.8,1,0.0,3.0,1,1,1,1
2.0,0.8,1,0.0,3.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,0,0.8,1.0,1,1,1,2
2.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
0.0,2.0,1,0.8,0.0,3,0,1,3
4.0,0.8,0,0.4,3.0,1,0,0,0
3.0,0.8,0,0.0,1.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,2,0,0,0
2.0,2.0,1,0.4,0.0,3,0,0,0
0.0,2.0,2,0.0,0.0,3,1,1,3
0.0,2.0,0,0.8,1.0,2,0,1,3
1.0,2.0,0,0.4,0.0,3,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.4,0,1.2,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
4.0,0.8,0,0.4,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.4,2.0,1,1,1,2
2.0,2.0,0,0.4,1.0,2,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,1,0.8,0.0,3,1,1,2
2.0,2.0,0,0.0,1.0,3,0,0,0
1.0,2.0,2,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
3.0,2.0,1,0.0,0.0,2,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
2.0,0.0,1,0.0,2.0,1,1,1,1
1.0,2.0,2,0.0,0.0,3,1,1,1
4.0,0.8,0,0.4,3.0,1,1,1,2
1.0,2.0,1,0.4,0.0,3,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
0.0,2.4,0,0.8,0.0,3,1,1,1
2.0,0.8,1,0.0,2.0,1,0,0,0
2.0,2.0,0,0.4,1.0,2,1,1,2
0.0,2.0,0,0.0,0.0,2,1,1,1
2.0,2.0,2,0.4,0.0,3,0,0,0
2.0,0.8,1,0.4,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,2,0.8,1.0,3,1,1,1
3.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,0,1.6,1.0,3,1,0,2
2.0,2.0,1,0.4,0.0,3,0,0,0
3.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
3.0,2.0,0,2.8,2.0,3,0,0,0
0.0,2.0,0,2.8,2.0,3,1,0,1
2.0,0.8,0,0.0,3.0,1,1,1,1
2.0,2.0,0,0.0,1.0,2,0,0,0
3.0,0.8,0,0.0,1.0,1,0,0,0
2.0,2.0,0,1.2,1.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,0.8,1,0.4,2.0,1,1,1,2
2.0,2.0,1,0.0,0.0,3,0,0,0
3.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,0,2.4,2.0,3,0,0,3
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.8,0,0.0,3.0,1,1,1,1
1.0,2.0,0,0.8,0.0,3,1,1,2
1.0,2.0,2,0.0,0.0,3,1,1,1
0.0,2.0,1,0.8,0.0,3,0,1,3
1.0,2.0,0,0.0,0.0,2,1,1,1
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,0,0.0,0.0,2,0,0,3
3.0,0.4,1,0.0,2.0,1,0,0,0
1.0,2.0,0,1.6,2.0,3,0,0,0
3.0,0.8,1,0.0,1.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.4,0.0,3,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
3.0,2.0,0,2.4,2.0,3,0,0,0
0.0,2.0,0,0.8,2.0,2,1,1,1
1.0,2.0,0,0.0,2.0,2,1,1,1
2.0,2.0,0,1.2,2.0,2,1,1,2
4.0,1.6,1,0.8,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,2,0,0,0
3.0,1.6,1,0.8,2.0,1,0,0,0
1.0,1.2,0,0.4,2.0,1,1,1,2
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,0.4,1,0.8,3.0,1,1,1,2
3.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.4,1.0,2,1,1,1
1.0,2.0,0,0.8,0.0,3,0,0,0
1.0,2.0,0,4.0,2.0,3,1,0,1
3.0,2.0,0,0.0,0.0,2,0,0,0
2.0,2.0,0,0.4,1.0,2,0,0,0
0.0,2.0,0,0.8,0.0,3,0,1,3
3.0,2.0,2,0.0,0.0,2,0,0,0
0.0,2.0,0,0.8,2.0,2,0,1,3
2.0,2.0,0,0.0,0.0,3,0,0,0
0.0,1.6,1,0.8,3.0,1,0,1,3
1.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
0.0,2.0,0,0.8,0.0,3,0,1,3
3.0,0.8,1,0.4,3.0,1,0,1,3
0.0,2.0,0,0.8,1.0,2,1,1,1
1.0,2.0,0,0.0,0.0,2,0,0,0
2.0,0.8,1,0.0,1.0,1,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
2.0,0.0,1,0.0,1.0,1,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,1.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,2.0,2,0,0,0
3.0,2.0,0,0.4,1.0,2,1,1,2
3.0,0.4,0,0.0,2.0,1,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
3.0,0.8,0,0.8,3.0,1,0,0,0
3.0,0.8,1,0.8,3.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,1,0.4,0.0,2,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,2,1,1,2
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.0,1.0,1,1,1,2
3.0,2.0,1,0.8,0.0,3,1,0,2
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
3.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,2,0,0,0
0.0,2.0,0,0.0,2.0,2,0,0,0
1.0,0.8,0,0.0,1.0,1,1,1,1
1.0,2.0,0,0.4,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.8,0.0,2,1,1,1
3.0,0.8,1,0.4,3.0,1,1,1,2
3.0,0.8,1,0.0,1.0,1,1,1,2
3.0,2.0,0,0.8,1.0,2,1,1,2
3.0,1.6,1,0.8,3.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,0,1.2,1.0,3,0,1,3
3.0,1.2,0,0.4,2.0,1,0,0,0
1.0,2.0,0,0.0,1.0,2,1,1,2
3.0,2.0,0,0.8,2.0,2,0,0,0
2.0,2.0,0,0.4,1.0,2,1,1,2
0.0,2.0,0,1.2,1.0,2,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.8,1,0.4,3.0,1,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,2,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,0,0.4,1.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.8,1.0,2,1,1,2
0.0,2.0,0,0.8,0.0,3,1,1,1
2.0,2.0,1,0.0,0.0,2,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.8,0,0.0,0.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.0,2.0,1,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
1.0,0.8,1,0.4,3.0,1,1,1,2
1.0,2.0,2,0.4,0.0,3,1,1,1
2.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.4,1.0,2,1,1,1
2.0,2.0,0,0.0,0.0,2,0,0,0
3.0,2.0,0,0.4,1.0,2,0,0,0
2.0,2.0,0,0.4,1.0,2,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
0.0,2.0,0,0.8,0.0,3,0,1,3
1.0,2.0,2,0.0,0.0,3,1,1,1
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,0.8,0,0.0,2.0,1,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
3.0,0.0,0,0.8,2.0,1,0,1,3
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,1,1.2,2.0,2,1,1,1
2.0,2.0,1,0.8,1.0,3,0,0,0
2.0,0.8,0,0.0,2.0,1,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,1.2,1,0.0,0.0,2,0,0,0
3.0,2.0,0,0.4,1.0,2,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
4.0,0.4,0,0.8,1.0,1,1,1,2
2.0,0.8,0,1.2,3.0,1,0,0,0
0.0,2.0,0,0.4,0.0,3,0,1,3
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,1,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.0,3.0,1,1,1,2
1.0,2.0,2,0.0,0.0,3,1,1,1
1.0,2.0,0,0.0,0.0,2,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,0,0.8,2.0,2,0,0,0
1.0,2.0,0,0.0,0.0,3,0,0,0
1.0,2.0,1,0.0,0.0,3,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
3.0,0.8,0,0.0,3.0,1,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,0,1.2,2.0,2,1,1,1
3.0,0.8,1,0.0,2.0,1,0,0,0
2.0,2.0,0,0.4,1.0,2,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
3.0,2.0,0,0.8,2.0,2,1,1,2
3.0,0.0,1,0.0,1.0,1,0,0,0
2.0,2.0,1,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,2,0,0,0
3.0,2.0,1,0.8,0.0,3,0,0,0
1.0,2.0,0,0.0,2.0,2,0,0,0
0.0,2.0,1,0.0,0.0,3,0,1,3
1.0,2.0,0,0.0,0.0,2,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,4.0,2.0,3,0,0,0
3.0,0.4,1,0.4,3.0,1,1,1,2
0.0,2.0,0,0.8,0.0,3,0,1,3
1.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.0,0.0,2,0,0,0
2.0,2.0,0,0.0,1.0,2,1,1,1
3.0,1.2,1,0.4,2.0,1,1,1,2
1.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,0.0,2.0,2,0,0,0
3.0,2.0,0,1.2,2.0,2,0,0,0
0.0,2.0,0,1.2,1.0,3,1,0,1
3.0,0.8,0,0.8,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,2.0,0,0.4,0.0,3,1,1,2
0.0,2.0,0,4.0,2.0,3,0,0,3
1.0,2.0,1,0.8,2.0,2,1,1,2
2.0,2.0,0,0.0,1.0,2,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
1.0,1.6,1,0.4,2.0,1,1,1,2
3.0,2.0,0,4.0,2.0,3,1,0,2
2.0,2.0,1,0.4,0.0,3,0,0,0
3.0,0.8,1,0.4,2.0,1,1,1,2
2.0,2.0,1,0.0,0.0,2,0,0,0
1.0,2.0,0,0.4,0.0,2,0,0,0
2.0,1.6,1,0.0,3.0,1,1,1,1
3.0,0.4,0,0.0,0.0,1,0,0,0
3.0,2.0,0,0.0,0.0,2,0,0,0
3.0,0.0,0,0.8,2.0,1,1,1,2
3.0,0.8,1,0.0,3.0,1,1,1,1
1.0,2.0,0,0.0,0.0,2,0,0,0
3.0,0.8,0,0.0,2.0,1,0,0,0
0.0,2.0,0,2.4,2.0,3,0,0,3
2.0,2.0,2,0.0,0.0,3,0,0,0
1.0,2.0,2,0.0,0.0,3,0,0,0
1.0,2.0,0,0.4,0.0,3,1,1,2
2.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,0,1.2,2.0,2,1,1,1
1.0,2.0,0,0.0,0.0,3,0,0,0
3.0,2.0,0,0.0,0.0,2,0,0,0
1.0,2.0,2,0.0,0.0,3,0,0,0
0.0,2.0,0,1.6,1.0,3,0,0,3
1.0,0.4,0,0.0,2.0,1,0,0,0
3.0,1.2,0,0.4,2.0,1,1,1,2
0.0,2.0,0,0.8,1.0,3,0,1,3
3.0,2.0,0,0.0,0.0,2,0,0,0
2.0,2.0,0,1.6,1.0,3,0,0,0
1.0,0.8,0,0.4,2.0,1,1,1,2
1.0,2.0,2,0.0,0.0,3,0,0,0
3.0,0.4,1,0.8,2.0,1,1,1,2
1.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,2,0.0,0.0,3,0,0,0
2.0,0.8,0,0.0,3.0,1,1,1,1
3.0,2.0,0,0.4,1.0,2,0,0,0
1.0,0.8,1,0.4,2.0,1,1,1,1
1.0,0.8,0,0.0,2.0,1,0,0,0
1.0,1.2,1,0.0,0.0,2,0,0,0
1.0,2.0,0,0.4,0.0,2,0,0,0
3.0,0.8,1,0.8,3.0,1,0,0,0
1.0,2.0,2,0.0,0.0,3,1,1,1
0.0,2.0,0,0.8,0.0,3,1,1,1
1.0,2.0,2,0.0,0.0,3,1,1,1
3.0,0.8,2,0.4,2.0,1,1,1,2
2.0,2.0,0,0.0,0.0,3,0,0,0
3.0,0.8,1,0.0,3.0,1,1,1,3
3.0,2.0,0,0.0,0.0,3,0,0,0
2.0,2.0,0,0.0,0.0,3,0,0,0
0.0,2.0,1,0.8,1.0,3,0,1,3
2.0,2.0,2,0.0,0.0,3,1,0,1
2.0,2.0,0,1.2,1.0,3,1,1,2
1.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.0,0.0,3,1,0,1
2.0,2.0,0,0.8,0.0,3,1,1,2
2.0,2.0,0,0.0,0.0,3,1,0,1
2.0,2.0,2,0.0,0.0,3,1,0,1
1.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.0,0.0,3,1,0,1
3.0,0.8,1,0.0,1.0,1,0,1,3
1.0,2.0,0,0.0,0.0,3,1,0,1
2.0,2.0,0,0.8,1.0,2,0,1,3
2.0,2.0,0,0.8,0.0,3,1,1,2
1.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.8,1.0,3,1,1,2
1.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.0,0.0,3,1,0,1
2.0,2.0,2,0.0,0.0,3,1,0,1
3.0,2.0,0,2.4,0.0,3,1,1,1
1.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.0,0.0,3,1,0,1
0.0,2.0,1,0.8,0.0,3,1,1,1
0.0,2.0,0,0.8,1.0,3,1,1,1
1.0,0.4,0,0.4,2.0,1,0,0,0
2.0,2.0,2,0.0,0.0,3,1,0,1
3.0,2.0,2,0.0,0.0,3,1,0,1
1.0,2.0,1,0.8,0.0,3,1,1,2
0.0,2.0,0,0.0,0.0,3,1,0,1
1.0,2.0,0,0.8,0.0,3,1,1,1
2.0,2.0,0,0.0,0.0,3,1,0,1
